id,title,author,isbn,annual circs
435,Love invents us /,"Bloom, Amy,",9780679441090,63
436,"Nora, Nora :","Siddons, Anne Rivers.",9780060176136,53
437,The bone vault /,"Fairstein, Linda A.",9780743223546,50
438,Emily Post's the gift of good manners  :,"Post, Peggy,",9780060185497,23
439,Switchers /,"Thompson, Kate.",9780786803804,28
440,Hunter's moon /,"Logan, Chuck,",9780060176433,37
441,Grover Cleveland /,"Graff, Henry F.",9780805069235,28
442,The Oxford book of modern women's stories /,,9780192142320,26
443,Agatha Raisin and the day the floods came /,"Beaton, M. C.",9780312207670,82
445,The collected poems of Wilfred Owen /,"Owen, Wilfred,",9780811201322,28
446,Clockwork /,"Pullman, Philip,",9780590129985,50
447,Powerhouse :,"Wilcox, Charlotte.",9780876149454,17
448,Mama cat has three kittens /,"Fleming, Denise,",9780805057454,55
449,The clowns of God :,"West, Morris L.,",9780688004491,34
450,"Tomorrow, up and away! /","Collins, Pat Lowery.",9780395515242,114
451,John Henry /,"Lester, Julius.",9780803716063,54
452,"Stars, stars, stars /","Barner, Bob.",9780811831598,116
453,Corporate tides :,"Fritz, Robert,",9781881052883,14
454,Treasures of the Smithsonian.,"Park, Edwards.",9780810916807,12
455,The enchanted world of sleep /,"Lavie, P.",9780300066029,33
456,"Tomatoes, potatoes, corn, and beans :","Johnson, Sylvia A.",9780689801419,13
457,The odes of John Keats /,"Vendler, Helen Hennessy.",9780674630758,47
458,"Grow younger, live longer :","Chopra, Deepak.",9780609600795,81
459,"How to write tales of horror, fantasy, and science fiction /",,9780898792706,34
460,"Cirque du Freak, bk. 03 : Tunnels of blood/","Shan, Darren.",9780316607636,45
461,Emma's rug /,"Say, Allen.",9780395742945,82
462,The plays of Oscar Wilde /,"Wilde, Oscar,",9780394757889,51
463,A century of bags :,"Wilcox, Claire.",9780785808343,33
464,Demons :,"Dostoyevsky, Fyodor,",9780679734512,37
465,Moonlight kite /,"Buckley, Helen Elizabeth.",9780688109318,91
466,Jacques-Louis David /,"Nanteuil, Luc de.",9780810908338,12
467,The last unicorn /,"Beagle, Peter S.",9780451450524,46
468,Purify your body :,"Diamond, Nina L.",9780517887455,44
469,Level 4 :,"McCormick, Joseph B.",9781570362774,35
470,The Victorian Internet :,"Standage, Tom.",9780802713421,16
471,The girl who loved wild horses /,"Goble, Paul.",9780878881215,44
472,A-hunting we will go! /,"Kellogg, Steven.",9780688149444,86
473,The treatment /,"Hayder, Mo.",9780385496957,32
474,Eva moves the furniture /,"Livesey, Margot,",9780805068016,28
475,Twelve snails to one lizard :,"Hightower, Susan.",9780689804526,97
476,Flamingo /,"Arnold, Caroline.",9780688094119,61
477,The core program :,"Brill, Peggy W.",9780553801392,54
478,Sir Francis Drake :,"Kelsey, Harry,",9780300071825,17
479,The second coming of Lucy Hatch :,"Moyer, Marsha.",9780060081652,26
480,Julia Roberts :,"Spada, James.",9780312285654,30
482,All about turkeys /,"Arnosky, Jim.",9780590481472,30
483,The difference engine /,"Gibson, William,",9780553070286,49
484,What I loved :,"Hustvedt, Siri.",9780805071702,55
485,"Best words, best order :","Dobyns, Stephen,",9780312129323,20
486,Princess Sultana's circle /,"Sasson, Jean P.",9780967673714,48
487,My chimp Friday :,"Mundis, Hester.",9780689838378,35
489,Bravo! :,"Scherer, Barrymore Laurence.",9780525942481,24
490,The speed of light :,"Rosner, Elizabeth.",9780345442246,35
491,Money troubles /,"Cosby, Bill,",9780590164023,66
492,The lucky ones : a novel /,"Cusk, Rachel, 1967-",9780007161317,32
493,"Operatives, spies, and saboteurs :","O'Donnell, Patrick K.,",9780743235723,19
